Name of Company,Are they a subsidiary of another umbrella brand?,"If Yes, Name of Parent Brand",Sector,HQ Location (Country),Name of Chief Executive ,First Name,Last Name,Company Address,Web URL of the Company,Company Email ID,,Link of Key Documents: Supplier Code of Conduct,Link of Key Document: Migrant Worker Policy,Link of Key Document: Human Rights Policy,Link of Key Document: Code of Conduct,Link of Key Document: Modern Slavery Statement,Link of Key Document: Sustainability Report,Implementation Guidance Link,Name of the Implementation Guidance,,Does the company prohibit recruitment fees to workers? Paste only relevant sentences.,Name of Reference Document 1,Reference Document Link,Reference to fee repayment if workers are found to have paid (up to three sentences),"If yes, provide link 1",Does the Recruitment Policy Include Requirement on Employer/ Suppliers to Pay,"Reference to Employer Pay Principle, Link",Reference to Employer Pay Principle,"Reference to Dhaka Principle, Link","Reference to Confiscation of travel/ identity document. If yes, mention up to three sentences.",Name of Reference Document 2,"If yes, provide link 2",,"Name of the Sustainability Representative, if available",Title of  Sustainability Representative,Sustainaiblity Department Email Address,Sustainability Representative Address,List if Membership of trade or sustainable business association
Akamai,No,,Technology,United States,Tom Leighton,Tom,Leighton,"150 Broadway, Cambridge, MA 02142, United States",https://www.akamai.com/,AkamaiPR@akamai.com,,https://www.akamai.com/site/en/documents/akamai/supplier-diversity-program.pdf,,https://www.akamai.com/site/en/documents/akamai/akamai-human-rights-policy.pdf,https://www.akamai.com/content/dam/sdl-content/us/en/multimedia/documents/akamai/akamai-code-of-business-conduct-and-ethics.pdf,https://www.akamai.com/site/en/documents/akamai/2023/modern-slavery-and-human-trafficking-statement.pdf,https://www.akamai.com/resources/research-paper/akamai-2022-environmental-social-governance-report,,,,,,,,,,,,,,,,,Mike Mattera,Director of Corporate Sustainability,,,
Alabama Power Company,Yes,Southern Company,Energy ,United States,Mark Crosswhite,Mark,Crosswhite,"700 18th St N, Birmingham, AL 35203",https://www.alabamapower.com/,https://www.alabamapower.com/company/media-room/media-inquiry-form.html,,,,,,,,,,,,,,,,,,,,,,,,Nicole Faulk,Senior Vice President Sustainability and Environmental Affairs ,,,
Alarm Com,No,,Technology,United States,TJ Kennedy,TJ,Kennedy,"8281 Greensboro Drive, Suite 100, Tysons, VA 22102",https://alarm.com/,info@alarm.com,,,,,https://s24.q4cdn.com/652723797/files/doc_downloads/corp_gov/Code_of_Business_Conduct.pdf,,,,,,,,,,,,,,,,,,,Daniel Ramos,"Chief Legal and Compliance Officer, Senior Vice President ",,,
Alaska Air Group,No,,Aviation ,United States,Ben Minicucci,Ben,Minicucci,"450 Alaska Airlines Way, Seattle, WA 98188, United States",https://www.alaskaair.com/,guestrelations@alaskaair.com,,https://www.alaskaair.com/-/media/Files/pdf/terms/AAG-Supplier-Code-of-Conduct-2017-Gold.ashx?la=en&hash=8040367A2B390807B2BA2BD497C522FD85E38667,,https://splash.alaskasworld.com/es/documents/Our_People_Policies.pdf,https://investor.alaskaair.com/static-files/f5268975-0fea-4ef3-94fa-6e760f104085,,https://investor.alaskaair.com/static-files/50fcf9f7-adb3-493e-b028-64fc25302b4b,,,,Employees must not be required to make monetary deposit as a condition of employment.,Supplier Code of Conduct,https://www.alaskaair.com/-/media/Files/pdf/terms/AAG-Supplier-Code-of-Conduct-2017-Gold.ashx?la=en&hash=8040367A2B390807B2BA2BD497C522FD85E38667,,,,,,,Employees' identification and/or immigration documents must not be surrendered or withheld as a condition of employment.,Supplier Code of Conduct,https://www.alaskaair.com/-/media/Files/pdf/terms/AAG-Supplier-Code-of-Conduct-2017-Gold.ashx?la=en&hash=8040367A2B390807B2BA2BD497C522FD85E38667,,Ryan Spies,"Managing Director, Sustainability",HRCompliance@alaskaair.com,,
Alation,No,,Software,United States,Satyen Sangani,Satyen,Sangani,"201 Redwood Shores Pkwy, Suite 200, Redwood City, CA 94065, United States.",https://www.alation.com/,contact@alation.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertsons Companies,Yes,Safeway,Retail,United States,Vivek Sankaran,Vivek,Sankaran,"250 Parkcenter Blvd, Boise, ID 83706, United States",https://www.albertsons.com/,customerservice@albertsons.com,,https://s29.q4cdn.com/239956855/files/our_impact/Supplier-Sustainability-Expectations-1-7-2022.pdf,,,,,https://s29.q4cdn.com/239956855/files/our_impact/sustainability_doc/albcdacsiv199540_aci_23_esg-report-1-2.pdf,,,,,,,,,,,,,,,,,Suzanne Long,Chief Sustainability and Transformation Officer,,,
Alcon,No,,Pharmaceutical,Switzerland,David Endicott,David,Endicott,"6201 South Freeway, Fort Worth, TX 76134, United States",https://www.alcon.com/,alcon.com,,https://alcon.widen.net/s/6sprpmcnhw/alcon-third-party-coc_en-en,,https://www.alcon.com/sites/g/files/rbvwei496/files/2022-11/Global_Policy_on_Human_Rights_EN_v.1_16_Sept_2022.pdf,https://integrity.alcon.com/code-business-conduct,https://www.alcon.com/sites/g/files/rbvwei496/files/2021-07/2021_Alcon_Supply_Chain_Modern_Slavery_Human_Trafficking_Statement_BOD_approved_28Apr2021.pdf,https://alcon.widen.net/s/nqcrlmgg2s/social-impact-and-sustainability-report-2022,https://alcon.widen.net/s/c5sztbsnxl/alcon-comprehensive-integrity-compliance-program-description,ALCON COMPREHENSIVE INTEGRITY AND COMPLIANCE PROGRAM,,,,,,,,,,,"Retention of Identity Papers/Passports: Workers must not be required to hand over their identity papers to secure employment unless required to do so by local law. If this is the case, workers must always have access to their papers",Supplier Code of Conduct,https://alcon.widen.net/s/6sprpmcnhw/alcon-third-party-coc_en-en,,Rhonda Norton,"Head, Global HSE",ESG@alcon.com,,
Aldi UK,No,,Retail,United Kingdom,Giles Hurley,Giles,Hurley,"Holly Lane, Atherstone, Warwickshire, CV9 2SQ",https://www.aldi.co.uk/,customer.service@aldi.co.uk,,,,,https://cdn.aldi-digital.co.uk/6igYrCAdkXDTQ6bCCBKfQhOEeKM.pdf,https://cdn.aldi-digital.co.uk/MlM6hJGRye$Gk0EsDtHHObnLS@o.pdf,https://cdn.aldi-digital.co.uk/Wcp0cV$cSbNIAFFjAeT5R@fSMBQ.pdf,,,,,,,,,,,,,,,,,Liz Fox,National Sustainability Director,aldicr@aldi.co.uk,,
Aldi USA,No,,Retail ,United States,Jason Hart,Jason,Hart,"1200 N Kirk Rd, Batavia, IL 60510",https://www.aldi.us/,customer.service@aldi.us,,,,,https://corporate.aldi.us/fileadmin/fm-dam/Corporate_Responsibility/CR_Updates/ALDI_Code_of_Conduct_Handbook.pdf,https://corporate.aldi.us/corporate-sustainability/supply-chain/california-transparency-in-supply-chains-act/,https://corporate.aldi.us/fileadmin/fm-dam/Progress_Report/Progress_Report_Dec_2023/ALDI_Sustainability_Progress_Report_2022_Highlights.pdf,,,,,,,,,,,,,,,,,Una Hrnjak,Director of Sustainability ,,,
Aldi South,No,,Retail,,,,,,https://cr.aldisouthgroup.com/en,responsibility@aldisouthgroup.com,,https://cr.aldisouthgroup.com/en/download/aldi-business-partner-sustainability-standards,,https://cr.aldisouthgroup.com/en/download/aldi-human-rights-and-environmental-due-diligence-policy,,https://cr.aldisouthgroup.com/en/downloads/international-policy-forced-labour,,https://corporate.aldi.us/fileadmin/fm-dam/Corporate_Responsibility/CR_Updates/ALDI_SocialStandardsProduction.pdf,"“Social Standards
in Production”",,"Business partners must abide by the Employer Pays Principle, meaning that workers must not pay for their employment in the form of recruitment fees and related costs (as defined by the ILO), and all costs related to employment and recruitment must be borne by the employer.",Supplier Code of Conduct,https://cr.aldisouthgroup.com/en/download/aldi-business-partner-sustainability-standards,,,Yes,https://cr.aldisouthgroup.com/en/download/aldi-business-partner-sustainability-standards,"Work may not be exacted on the basis of debt. Business partners must abide by the Employer Pays Principle, meaning that workers must not pay for their employment in the form of recruitment fees and related costs (as defined by the ILO), and all costs related to employment and recruitment must be borne by the employer",https://cr.aldisouthgroup.com/en/downloads/international-policy-forced-labour,"Employers may not retain workers’ money (including wages owed) or possessions such as identity documents against the worker’s will, with the intention of binding workers to the place of employment.",Supplier Code of Conduct,https://cr.aldisouthgroup.com/en/download/aldi-business-partner-sustainability-standards,,Anke Ehlers,Managing Director of International Sustainability,responsibility@aldisouthgroup.com,,
Align Technology,No,,Medical Device,United States,Joe Hogan,Joe,Hogan,"2820 Orchard Parkway, San Jose, CA 95134, United States.",https://www.aligntech.com/,corporateinfo@aligntech.com,,,,,,https://assets.ctfassets.net/vh25xg5i1h5l/7990b8YxqNubPDuS7FTbga/8c5360bb3a91cab4a4f09113618ac95d/Align_Australia_Group_Modern_Slavery_Statement_FY2022.pdf,https://www.aligntech.com/about/corporate_social_responsibility,https://investor.aligntech.com/static-files/8cc0ac7e-b6af-41f7-ba86-0fc4c10dfbe7,"CLEAR: Conducting Legal Ethical and Responsible Business
Our Global Compliance & Ethics Program",,We do not charge any fees to individuals for the sourcing of the employment opportunities they are offered;,Modern Slavery Statement,https://assets.ctfassets.net/vh25xg5i1h5l/7990b8YxqNubPDuS7FTbga/8c5360bb3a91cab4a4f09113618ac95d/Align_Australia_Group_Modern_Slavery_Statement_FY2022.pdf,,,,,,,,,,,Tim Warren,Director of Environmental Health and Safety & Sustainability,,,
Allergan,Yes,Abbvie,Pharmaceutical,Ireland,Brenton Saunders,Brenton,Saunders,"Longphort House Earlsfort Cntr Lower Leeson Street Dublin, 2 Ireland.",https://www.allergan.com/,info@allergan.com,,,,,,,,,,,,,,,,,,,,,,,,,,customerservice@abbvie.com,,
Allstate,No,,Insurance,United States,Thomas Wilson,Thomas,Wilson,"3100 Sanders Road Northbrook, IL 60062",https://www.allstate.com/,https://www.allstate.com/help-support/contact/email%3Fintcid%3DILC-AllstateHelpcenter%7CArticleCopy%7CEmailUs,,https://www.allstate.com/resources/allstate/attachments/procurement/supplier_code_ethics.pdf,,,https://www.allstatecorporation.com/about/global-code-of-conduct.aspx,https://www.allstate.com/resources/allstate/attachments/northern-ireland/modern-slavery-statement-march-2017-published-version.pdf,https://delivery.contenthub.allstate.com/api/public/content/2eda6586d01b4b3bb0605047eacdc4e7?v=19494efc&adobe_mc=MCMID%3D42809427735445872331338252974791694813%7CMCORGID%3D97021C8B53295DF30A490D4D%2540AdobeOrg%7CTS%3D1709274418&_gl=1*drwdee*_ga*MTIwNTIzODg3MC4xNzA5Mjc0NDIw*_ga_E5RN65WV3V*MTcwOTI3NDQxOS4xLjAuMTcwOTI3NDQxOS4wLjAuMA..&_ga=2.32303550.1266890940.1709274420-1205238870.1709274420,,,,,,,,,,,,,,,,,Susan L. Lees,Chief Sustainability Officer,SupplierMentoring@allstate.com,,
Alstom,No,,Manufacturing,France,Henri Poupart-Lafarge,Henri,Poupart-Lafarge,"48 Rue Albert Dhalenne, 93400 Saint-Ouen, France.",https://www.alstom.com/,mediarelations@alstomgroup.com,,https://www.alstom.com/sites/alstom.com/files/2018/07/16/ethics_and_sustainable_development_charter_for_alstoms_suppliers_and_contractors_.pdf,,,https://www.alstom.com/sites/alstom.com/files/2020/06/05/Alstom_CodeofEthics_2020_EN.pdf,https://www.alstom.com/sites/alstom.com/files/2022/09/29/Modern_Slavery_Act_Transparency_Statement_ATUKL_2021.pdf,https://www.alstom.com/sites/alstom.com/files/2023/07/10/Alstom_CSR_Brochure_2023_EN.pdf,,,,,,,,,,,,,,,,,Inge De Venter,The Chief Compliance Officer,inge.de-venter@alstomgroup.com,inge.de-venter@alstomgroup.com,
Alteryx,No,,Data Analytics,United States,Kevin Rubin,Kevin,Rubin,"131 S. Lincoln Ave. Irvine, CA 92614 United States",https://www.alteryx.com/,support@alteryx.com,,,,https://www.alteryx.com/wp-content/uploads/media/pdfs/alteryx-human-rights-statement.pdf,https://investor.alteryx.com/files/doc_downloads/Code-of-Business-Conduct-and-Ethics-Feb-2023.pdf,https://www.alteryx.com/wp-content/uploads/media/legal/alteryx-modern-slavery-act-transparency-statement.pdf,https://www.alteryx.com/wp-content/uploads/media/report/ayx_2022-global-impact-report_1920x1080.pdf,,,,,,,,,,,,,,,,,Jennifer Yuen,ESG & Sustainability Manager,socialimpact@alteryx.com,,
Altria,No,,Tabacco,United States,Billy Gifford,Billy,Gifford,"6601 West Broad Street Richmond, VA 23230 United States",https://www.altria.com/,investor.relations@altria.com,,https://www.altria.com/-/media/Project/Altria/Altria/responsibility/supply-chain-responsibility/supplier-code-of-conduct.pdf,,,https://www.altria.com/-/media/Project/Altria/Altria/people-and-careers/people-and-culture/altria_code_of_conduct.pdf,,https://www.altria.com/-/media/Project/Altria/Altria/responsibility/esg-reporting-and-data/Engage-Lead-2022-Report.pdf?src=resp-at-a-glance,,,,,,,,,,,,,,,,,Jennifer Hunter,Senior Vice President Corporate Citizenship & Chief Sustainability Officer,https://www.altria.com/contact-us/Sustainability-and-ESG,,
Amazon,No,,Retail ,United States,Andy Jassy,Andy,Jassy,"1200 12th Ave Seattle, WA 98144 United States",https://www.amazon.com/,cs-reply@amazon.com,,https://sustainability.aboutamazon.com/amazon_supply_chain_standards_english.pdf,,https://sustainability.aboutamazon.com/human-rights/principles,https://ir.aboutamazon.com/corporate-governance/documents-and-charters/code-of-business-conduct-and-ethics/default.aspx,https://sustainability.aboutamazon.com/modern-slavery-statement.pdf,https://sustainability.aboutamazon.com/2022-sustainability-report.pdf,https://sustainability.aboutamazon.com/amazon-supplier-manual-english.pdf,"Amazon
Supply Chain
Standards Manual",,"Recruitment and related fees: Workers must not be required to pay recruitment, hiring, agents’ or brokers’ fees, or other related fees or costs for their employment either in their home country, any intermediate country, or the country where work is performed. Suppliers should recruit workers in a manner that prevents worker-paid fees. Suppliers may not require workers to make any financial deposits into accounts. If workers have paid fees in violation of these Standards, Suppliers are required to bear or reimburse to workers the cost of any such fees incurred at any point during the recruitment process, even if outside of the Suppliers’ direct control of the recruitment process",Supply Chain Standards,https://sustainability.aboutamazon.com/amazon_supply_chain_standards_english.pdf,"If workers have paid fees in violation of these Standards, Suppliers are required to bear or reimburse to workers the cost of any such fees incurred at any point during the recruitment process, even if outside of the Suppliers’ direct control of the recruitment process",https://sustainability.aboutamazon.com/amazon_supply_chain_standards_english.pdf,,,,,"Personal identification documents: Suppliers must not cause workers to lose possession of or access to their personal documents. Suppliers must not hold (for safekeeping), destroy, conceal, confiscate, or require workers to surrender government issued identification, passports, immigration documents, or work permits to any party, including third party agents",Supply Chain Standards,https://sustainability.aboutamazon.com/amazon_supply_chain_standards_english.pdf,,Kara Hurst,"Vice President, Head of Worldwide Sustainability",sustainability-data-initiative@amazon.com,,Responsible Business Alliance
AMC Entertainment ,No,,Entertainment,United States,Adam Aron,Adam,Aron,"11500 W Olympic Blvd Los Angeles, CA 90064 United States",https://www.amctheatres.com/,rnoonan@amctheatres.com,,,,,,,,,,,,,,,,,,,,,,,,Carla C. Chavarria,"Senior Vice President, Human Resources",InvestorRelations@amctheatres.com,,
AMC Networks,Yes,Cablevision,Entertainment,United States,Kristin Dolan,Kristin,Dolan,"11 Penn Plaza 11th Floor New York, NY 10001",https://www.amcnetworks.com/,info@amcnetworks.com,,https://investors.amcnetworks.com/static-files/66811f56-aeda-4825-b679-f26265d54507,,,https://investors.amcnetworks.com/static-files/af8da55d-8a43-4e32-ae1b-f081bd50ae7b,,,,,,,,,,,,,,,,,,,,,,,
AMD,No,,Electronics,United States,Lisa Su,Lisa,Su," One AMD Place, P.O. Box 3453, Sunnyvale, CA 94088-3453, USA",https://www.amd.com/,https://www.amd.com/en/forms/feedback/email-communications-feedback.html,,https://www.amd.com/en/corporate/corporate-responsibility/amd-supplier-code-of-conduct.html,,https://www.amd.com/system/files/documents/human-rights-policy.pdf,https://www.amd.com/system/files/documents/worldwide-standards-of-business-conduct.pdf,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/statement-human-trafficking-forced-labor.pdf,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/2022-23-amd-cr-report.pdf,,,,"Workers shall not be required to pay employers' agents or sub-agents' recruiment fees or other related fees for their employment. If any such fees are found to have been paid by workers, such fees shall be repaid to the worker",Statement on Modern Slavery and Human Trafficking,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/statement-human-trafficking-forced-labor.pdf,"If any such fees are found to have been paid by workers, such fees shall be repaid to the worker",https://www.amd.com/content/dam/amd/en/documents/corporate/cr/statement-human-trafficking-forced-labor.pdf,,,,,,,,,Justin Murrill,Director of Corporate Responsibility,,,Responsible Business Alliance
Amdocs,,,Telecommunications,United States,Shuky Sheffer,Shuky,Sheffer,"5390 Legacy Drive, Building 3Plano, TX 75024United States",https://www.amdocs.com/,info@amdocs.com,,https://www.amdocs.com/sites/default/files/2021-09/Supplier-Code-of-Conduct.pdf,,https://www.amdocs.com/sites/default/files/2021-07/HR.PDF,https://dwww.amdocs.com/sites/default/files/2021-07/Code-of-ethics-Aug20.pdf,,https://www.amdocs.com/sites/default/files/2023-08/CSR-ESG-Report-FY2022-June2023-final.pdf,,,,,,,,,,,,,Supplier shall not withhold employees’ original government-issued identifications and travel documents,Supplier Code of Conduct,https://www.amdocs.com/sites/default/files/2021-09/Supplier-Code-of-Conduct.pdf,,Idit Duvdevany Aronsohn,Head of Corporate Responsibility,SocialResponsibility@amdocs.com,Idit.Duvdevany@amdocs.com ,
American Airlines,No,,Aviation,United States,Doug Parker,Doug,Parker,"1100 Terminal C, DFW Airport, TX 75261",https://www.aa.com/,mediarelations@aa.com,,https://www.aa.com/content/images/customer-service/about-us/corporate-governance/standards-of-business-conduct-for-suppliers.pdf,,https://www.aa.com/i18n/customer-service/about-us/human-rights-statement.jsp,https://www.aa.com/content/images/customer-service/about-us/corporate-governance/standards-of-business-conduct-for-employees.pdf,"https://www.aa.com/i18n/customer-service/about-us/modern-slavery-act-transparency-statement.jsp?locale=en_GB#:~:text=We%20do%20not%20knowingly%20conduct,forced%20labour%2C%20or%20human%20trafficking.",https://s202.q4cdn.com/986123435/files/images/esg/aa-sustainability-report-2022.pdf,,,,"Upon request, Suppliers provide us access to personal documentation (e.g., government-issued identification, passports, or work permits) and pay agency recruitment and/or employment fees and expenses.",Standards of Business Conduct for Suppliers,https://www.aa.com/content/images/customer-service/about-us/corporate-governance/standards-of-business-conduct-for-suppliers.pdf,,,,,,,"Upon request, Suppliers provide us access to personal documentation (e.g., government-issued identification, passports, or work permits) and pay agency recruitment and/or employment fees and expenses.",Standards of Business Conduct for Suppliers,https://www.aa.com/content/images/customer-service/about-us/corporate-governance/standards-of-business-conduct-for-suppliers.pdf,,Jill Blickstein,"Vice President, Sustainability",Business.Ethics.Office@aa.com,,
